Airport,Year,Month,Date,Domestic_Passengers,International_Passengers,Total_Passengers
Adelaide,2009,1,1/1/09,517632,45113,562745
Adelaide,2009,2,1/2/09,466920,36184,503104
Adelaide,2009,3,1/3/09,565261,37620,602881
Adelaide,2009,4,1/4/09,555522,41440,596962
Adelaide,2009,5,1/5/09,517203,36406,553609
Adelaide,2009,6,1/6/09,484873,37129,522002
Adelaide,2009,7,1/7/09,542166,45352,587518
Adelaide,2009,8,1/8/09,538835,40627,579462
Adelaide,2009,9,1/9/09,531861,44738,576599
Adelaide,2009,10,1/10/09,561466,47040,608506
Adelaide,2009,11,1/11/09,531518,43449,574967
Adelaide,2009,12,1/12/09,527091,46301,573392
Adelaide,2010,1,1/1/10,519063,48805,567868
Adelaide,2010,2,1/2/10,499819,38282,538101
Adelaide,2010,3,1/3/10,586946,42695,629641
Adelaide,2010,4,1/4/10,586710,45420,632130
Adelaide,2010,5,1/5/10,541978,39331,581309
Adelaide,2010,6,1/6/10,524575,41441,566016
Adelaide,2010,7,1/7/10,590676,47178,637854
Adelaide,2010,8,1/8/10,567307,43369,610676
Adelaide,2010,9,1/9/10,569972,45753,615725
Adelaide,2010,10,1/10/10,614845,46941,661786
Adelaide,2010,11,1/11/10,568388,44046,612434
Adelaide,2010,12,1/12/10,587933,49131,637064
Adelaide,2011,1,1/1/11,549241,49494,598735
Adelaide,2011,2,1/2/11,500762,40101,540863
Adelaide,2011,3,1/3/11,589089,43138,632227
Adelaide,2011,4,1/4/11,569555,48782,618337
Adelaide,2011,5,1/5/11,548098,45314,593412
Adelaide,2011,6,1/6/11,475053,44600,519653
Adelaide,2011,7,1/7/11,550818,53391,604209
Adelaide,2011,8,1/8/11,526160,49977,576137
Adelaide,2011,9,1/9/11,523982,51072,575054
Adelaide,2011,10,1/10/11,551110,52025,603135
Adelaide,2011,11,1/11/11,531539,47928,579467
Adelaide,2011,12,1/12/11,522927,57251,580178
Adelaide,2012,1,1/1/12,519484,61737,581221
Adelaide,2012,2,1/2/12,491820,47477,539297
Adelaide,2012,3,1/3/12,559334,51632,610966
Adelaide,2012,4,1/4/12,531241,51716,582957
Adelaide,2012,5,1/5/12,526113,45236,571349
Adelaide,2012,6,1/6/12,493715,49307,543022
Adelaide,2012,7,1/7/12,545554,56268,601822
Adelaide,2012,8,1/8/12,528411,49357,577768
Adelaide,2012,9,1/9/12,540478,55038,595516
Adelaide,2012,10,1/10/12,568726,53692,622418
Adelaide,2012,11,1/11/12,568625,58625,627250
Adelaide,2012,12,1/12/12,543314,69992,613306
