Country,Continent,Year,Population,GPD per capita,"Life expectancy at birth, total (years)"
Afghanistan,Asia,1952,8425333,779.4453145,28.801
Afghanistan,Asia,1957,9240934,820.8530296,30.332
Afghanistan,Asia,1962,10267083,853.10071,31.997
Afghanistan,Asia,1967,11537966,836.1971382,34.02
Afghanistan,Asia,1972,13079460,739.9811058,36.088
Afghanistan,Asia,1977,14880372,786.11336,38.438
Afghanistan,Asia,1982,12881816,978.0114388,39.854
Afghanistan,Asia,1987,13867957,852.3959448,40.822
Afghanistan,Asia,1992,16317921,649.3413952,41.674
Afghanistan,Asia,1997,22227415,635.341351,41.763
Afghanistan,Asia,2002,25268405,726.7340548,42.129
Afghanistan,Asia,2007,31889923,974.5803384,43.828
Albania,Europe,1952,1282697,1601.056136,55.23
Albania,Europe,1957,1476505,1942.284244,59.28
Albania,Europe,1962,1728137,2312.888958,64.82
Albania,Europe,1967,1984060,2760.196931,66.22
Albania,Europe,1972,2263554,3313.422188,67.69
Albania,Europe,1977,2509048,3533.00391,68.93
Albania,Europe,1982,2780097,3630.880722,70.42
Albania,Europe,1987,3075321,3738.932735,72
Albania,Europe,1992,3326498,2497.437901,71.581
Albania,Europe,1997,3428038,3193.054604,72.95
Albania,Europe,2002,3508512,4604.211737,75.651
Albania,Europe,2007,3600523,5937.029526,76.423
Algeria,Africa,1952,9279525,2449.008185,43.077
Algeria,Africa,1957,10270856,3013.976023,45.685
Algeria,Africa,1962,11000948,2550.81688,48.303
Algeria,Africa,1967,12760499,3246.991771,51.407
Algeria,Africa,1972,14760787,4182.663766,54.518
Algeria,Africa,1977,17152804,4910.416756,58.014
Algeria,Africa,1982,20033753,5745.160213,61.368
Algeria,Africa,1987,23254956,5681.358539,65.799
Algeria,Africa,1992,26298373,5023.216647,67.744
Algeria,Africa,1997,29072015,4797.295051,69.152
Algeria,Africa,2002,31287142,5288.040382,70.994
Algeria,Africa,2007,33333216,6223.367465,72.301
Angola,Africa,1952,4232095,3520.610273,30.015
Angola,Africa,1957,4561361,3827.940465,31.999
Angola,Africa,1962,4826015,4269.276742,34
Angola,Africa,1967,5247469,5522.776375,35.985
Angola,Africa,1972,5894858,5473.288005,37.928
Angola,Africa,1977,6162675,3008.647355,39.483
Angola,Africa,1982,7016384,2756.953672,39.942
Angola,Africa,1987,7874230,2430.208311,39.906
Angola,Africa,1992,8735988,2627.845685,40.647
Angola,Africa,1997,9875024,2277.140884,40.963
Angola,Africa,2002,10866106,2773.287312,41.003
Angola,Africa,2007,12420476,4797.231267,42.731
Argentina,Americas,1952,17876956,5911.315053,62.485
Argentina,Americas,1957,19610538,6856.856212,64.399
Argentina,Americas,1962,21283783,7133.166023,65.142
Argentina,Americas,1967,22934225,8052.953021,65.634
Argentina,Americas,1972,24779799,9443.038526,67.065
Argentina,Americas,1977,26983828,10079.02674,68.481
Argentina,Americas,1982,29341374,8997.897412,69.942
Argentina,Americas,1987,31620918,9139.671389,70.774
Argentina,Americas,1992,33958947,9308.41871,71.868
Argentina,Americas,1997,36203463,10967.28195,73.275
Argentina,Americas,2002,38331121,8797.640716,74.34
Argentina,Americas,2007,40301927,12779.37964,75.32
Australia,Oceania,1952,8691212,10039.59564,69.12
Australia,Oceania,1957,9712569,10949.64959,70.33
Australia,Oceania,1962,10794968,12217.22686,70.93
Australia,Oceania,1967,11872264,14526.12465,71.1
Australia,Oceania,1972,13177000,16788.62948,71.93
Australia,Oceania,1977,14074100,18334.19751,73.49
Australia,Oceania,1982,15184200,19477.00928,74.74
Australia,Oceania,1987,16257249,21888.88903,76.32
Australia,Oceania,1992,17481977,23424.76683,77.56
Australia,Oceania,1997,18565243,26997.93657,78.83
Australia,Oceania,2002,19546792,30687.75473,80.37
Australia,Oceania,2007,20434176,34435.36744,81.235
Austria,Europe,1952,6927772,6137.076492,66.8
Austria,Europe,1957,6965860,8842.59803,67.48
Austria,Europe,1962,7129864,10750.72111,69.54
Austria,Europe,1967,7376998,12834.6024,70.14
Austria,Europe,1972,7544201,16661.6256,70.63
Austria,Europe,1977,7568430,19749.4223,72.17
Austria,Europe,1982,7574613,21597.08362,73.18
Austria,Europe,1987,7578903,23687.82607,74.94
Austria,Europe,1992,7914969,27042.01868,76.04
Austria,Europe,1997,8069876,29095.92066,77.51
Austria,Europe,2002,8148312,32417.60769,78.98
Austria,Europe,2007,8199783,36126.4927,79.829
Bahrain,Asia,1952,120447,9867.084765,50.939
Bahrain,Asia,1957,138655,11635.79945,53.832
Bahrain,Asia,1962,171863,12753.27514,56.923
Bahrain,Asia,1967,202182,14804.6727,59.923
Bahrain,Asia,1972,230800,18268.65839,63.3
Bahrain,Asia,1977,297410,19340.10196,65.593
Bahrain,Asia,1982,377967,19211.14731,69.052
Bahrain,Asia,1987,454612,18524.02406,70.75
Bahrain,Asia,1992,529491,19035.57917,72.601
Bahrain,Asia,1997,598561,20292.01679,73.925
Bahrain,Asia,2002,656397,23403.55927,74.795
Bahrain,Asia,2007,708573,29796.04834,75.635
Bangladesh,Asia,1952,46886859,684.2441716,37.484
Bangladesh,Asia,1957,51365468,661.6374577,39.348
Bangladesh,Asia,1962,56839289,686.3415538,41.216
Bangladesh,Asia,1967,62821884,721.1860862,43.453
Bangladesh,Asia,1972,70759295,630.2336265,45.252
Bangladesh,Asia,1977,80428306,659.8772322,46.923
Bangladesh,Asia,1982,93074406,676.9818656,50.009
Bangladesh,Asia,1987,103764241,751.9794035,52.819
Bangladesh,Asia,1992,113704579,837.8101643,56.018
Bangladesh,Asia,1997,123315288,972.7700352,59.412
Bangladesh,Asia,2002,135656790,1136.39043,62.013
Bangladesh,Asia,2007,150448339,1391.253792,64.062
Belgium,Europe,1952,8730405,8343.105127,68
Belgium,Europe,1957,8989111,9714.960623,69.24
Belgium,Europe,1962,9218400,10991.20676,70.25
Belgium,Europe,1967,9556500,13149.04119,70.94
Belgium,Europe,1972,9709100,16672.14356,71.44
Belgium,Europe,1977,9821800,19117.97448,72.8
Belgium,Europe,1982,9856303,20979.84589,73.93
Belgium,Europe,1987,9870200,22525.56308,75.35
Belgium,Europe,1992,10045622,25575.57069,76.46
Belgium,Europe,1997,10199787,27561.19663,77.53
Belgium,Europe,2002,10311970,30485.88375,78.32
Belgium,Europe,2007,10392226,33692.60508,79.441
Benin,Africa,1952,1738315,1062.7522,38.223
Benin,Africa,1957,1925173,959.6010805,40.358
Benin,Africa,1962,2151895,949.4990641,42.618
Benin,Africa,1967,2427334,1035.831411,44.885
Benin,Africa,1972,2761407,1085.796879,47.014
Benin,Africa,1977,3168267,1029.161251,49.19
Benin,Africa,1982,3641603,1277.897616,50.904
Benin,Africa,1987,4243788,1225.85601,52.337
Benin,Africa,1992,4981671,1191.207681,53.919
Benin,Africa,1997,6066080,1232.975292,54.777
Benin,Africa,2002,7026113,1372.877931,54.406
Benin,Africa,2007,8078314,1441.284873,56.728
Bolivia,Americas,1952,2883315,2677.326347,40.414
Bolivia,Americas,1957,3211738,2127.686326,41.89
Bolivia,Americas,1962,3593918,2180.972546,43.428
Bolivia,Americas,1967,4040665,2586.886053,45.032
Bolivia,Americas,1972,4565872,2980.331339,46.714
Bolivia,Americas,1977,5079716,3548.097832,50.023
Bolivia,Americas,1982,5642224,3156.510452,53.859
Bolivia,Americas,1987,6156369,2753.69149,57.251
Bolivia,Americas,1992,6893451,2961.699694,59.957
Bolivia,Americas,1997,7693188,3326.143191,62.05
Bolivia,Americas,2002,8445134,3413.26269,63.883
Bolivia,Americas,2007,9119152,3822.137084,65.554
Bosnia and Herzegovina,Europe,1952,2791000,973.5331948,53.82
Bosnia and Herzegovina,Europe,1957,3076000,1353.989176,58.45
Bosnia and Herzegovina,Europe,1962,3349000,1709.683679,61.93
Bosnia and Herzegovina,Europe,1967,3585000,2172.352423,64.79
Bosnia and Herzegovina,Europe,1972,3819000,2860.16975,67.45
Bosnia and Herzegovina,Europe,1977,4086000,3528.481305,69.86
Bosnia and Herzegovina,Europe,1982,4172693,4126.613157,70.69
Bosnia and Herzegovina,Europe,1987,4338977,4314.114757,71.14
Bosnia and Herzegovina,Europe,1992,4256013,2546.781445,72.178
Bosnia and Herzegovina,Europe,1997,3607000,4766.355904,73.244
Bosnia and Herzegovina,Europe,2002,4165416,6018.975239,74.09
Bosnia and Herzegovina,Europe,2007,4552198,7446.298803,74.852
Botswana,Africa,1952,442308,851.2411407,47.622
Botswana,Africa,1957,474639,918.2325349,49.618
Botswana,Africa,1962,512764,983.6539764,51.52
Botswana,Africa,1967,553541,1214.709294,53.298
Botswana,Africa,1972,619351,2263.611114,56.024
Botswana,Africa,1977,781472,3214.857818,59.319
Botswana,Africa,1982,970347,4551.14215,61.484
Botswana,Africa,1987,1151184,6205.88385,63.622
Botswana,Africa,1992,1342614,7954.111645,62.745
Botswana,Africa,1997,1536536,8647.142313,52.556
Botswana,Africa,2002,1630347,11003.60508,46.634
Botswana,Africa,2007,1639131,12569.85177,50.728
Brazil,Americas,1952,56602560,2108.944355,50.917
Brazil,Americas,1957,65551171,2487.365989,53.285
Brazil,Americas,1962,76039390,3336.585802,55.665
Brazil,Americas,1967,88049823,3429.864357,57.632
Brazil,Americas,1972,100840058,4985.711467,59.504
Brazil,Americas,1977,114313951,6660.118654,61.489
Brazil,Americas,1982,128962939,7030.835878,63.336
Brazil,Americas,1987,142938076,7807.095818,65.205
Brazil,Americas,1992,155975974,6950.283021,67.057
Brazil,Americas,1997,168546719,7957.980824,69.388
Brazil,Americas,2002,179914212,8131.212843,71.006
Brazil,Americas,2007,190010647,9065.800825,72.39
Bulgaria,Europe,1952,7274900,2444.286648,59.6
Bulgaria,Europe,1957,7651254,3008.670727,66.61
Bulgaria,Europe,1962,8012946,4254.337839,69.51
Bulgaria,Europe,1967,8310226,5577.0028,70.42
Bulgaria,Europe,1972,8576200,6597.494398,70.9
Bulgaria,Europe,1977,8797022,7612.240438,70.81
Bulgaria,Europe,1982,8892098,8224.191647,71.08
Bulgaria,Europe,1987,8971958,8239.854824,71.34
Bulgaria,Europe,1992,8658506,6302.623438,71.19
Bulgaria,Europe,1997,8066057,5970.38876,70.32
Bulgaria,Europe,2002,7661799,7696.777725,72.14
Bulgaria,Europe,2007,7322858,10680.79282,73.005
Burkina Faso,Africa,1952,4469979,543.2552413,31.975
Burkina Faso,Africa,1957,4713416,617.1834648,34.906
Burkina Faso,Africa,1962,4919632,722.5120206,37.814
Burkina Faso,Africa,1967,5127935,794.8265597,40.697
